Wall time,Step,Value
1744939910.1693423,4,2.5399599075317383
1744939965.5854669,14,3.5798399448394775
1744939971.1701024,15,3.734450101852417
1744939988.004601,18,4.0521697998046875
1744939993.5370378,19,3.780869960784912
1744940010.6885803,22,3.1492600440979004
1744940033.250461,26,3.033750057220459
1744940038.7539146,27,2.850480079650879
1744940112.3334053,40,1.0404900312423706
1744940150.321099,47,-0.12559999525547028
1744940155.6962745,48,-0.19283999502658844
1744940161.069153,49,-0.34240999817848206
1744940187.9908044,54,-0.6469399929046631
1744940230.852125,62,-1.0906200408935547
1744940236.1565053,63,-1.1386699676513672
1744940252.0930543,66,-1.1736199855804443
1744940257.4235482,67,-1.1778099536895752
1744940273.2831237,70,-1.3933000564575195
1744940278.6174314,71,-1.4237600564956665
1744940310.4802835,77,-1.544659972190857
1744940336.7294738,82,-1.364799976348877
1744940373.8467093,89,-1.6604000329971313
1744940426.8679287,99,-1.8562099933624268
1744940448.1649516,103,-1.6737200021743774
1744940464.2134917,106,-1.7686200141906738
1744940469.5581899,107,-1.750920057296753
1744940517.5851986,116,-1.9261399507522583
1744940544.1764266,121,-2.004379987716675
1744940565.5688727,125,-1.9279899597167969
1744940570.8037448,126,-1.9199199676513672
1744940581.4840481,128,-1.2642500400543213
1744940592.1279035,130,-1.969939947128296
1744940623.9675016,136,-1.8503199815750122
1744940629.3031209,137,-1.6783699989318848
1744940666.1771343,144,-1.6506099700927734
1744940676.8397508,146,-1.852180004119873
1744940682.1345978,147,-1.9830399751663208
1744940697.821811,150,-2.013050079345703
1744940734.5867682,157,-2.076390027999878
1744940750.3722928,160,-1.7371200323104858
1744940760.7374446,162,-1.5936100482940674
1744940771.2280703,164,-1.7862299680709839
1744940807.8647554,171,-1.4399700164794922
1744940813.0639114,172,-1.8083800077438354
1744940839.2181144,177,-1.6429699659347534
1744940875.746589,184,-1.913830041885376
1744940880.9799001,185,-1.74836003780365
1744940886.1731176,186,-1.601199984550476
1744940907.3139572,190,-1.689869999885559
1744940912.7571774,191,-1.6962900161743164
1744940918.1288512,192,-1.5602600574493408
1744940955.7363842,199,-1.3344199657440186
1744940971.4355855,202,-1.769919991493225
1744940976.6263838,203,-1.8597099781036377
1744940981.8293386,204,-1.553320050239563
1744940987.1120944,205,-1.7022700309753418
1744940997.690578,207,-1.7953100204467773
1744941019.0987978,211,-1.8240100145339966
1744941029.856943,213,-1.9322500228881836
1744941040.5043964,215,-1.8439699411392212
1744941067.3025334,220,-1.748810052871704
1744941072.7801192,221,-1.6490299701690674
1744941088.9332387,224,-1.878600001335144
1744941115.4799092,229,-1.9770100116729736
1744941195.0973318,244,-1.8788000345230103
1744941200.4065304,245,-1.7009299993515015
1744941205.6460853,246,-1.795609951019287
1744941269.1546328,258,-2.1742100715637207
1744941274.333763,259,-1.5971200466156006
1744941279.5434957,260,-1.823490023612976
1744941337.442679,271,-1.9578299522399902
1744941353.3678064,274,-1.8733099699020386
1744941363.781958,276,-1.8354400396347046
1744941374.2075353,278,-1.7981499433517456
1744941394.7132804,282,-1.807569980621338
1744941410.275202,285,-1.552299976348877
1744941425.8778422,288,-1.8942099809646606
1744941436.3076406,290,-1.7881499528884888
1744941462.2240615,295,-1.7345199584960938
1744941472.563191,297,-1.9300700426101685
1744941477.724893,298,-2.0179901123046875
1744941519.318929,306,-1.7305799722671509
1744941529.7292688,308,-1.794659972190857
1744941550.8116455,312,-1.778689980506897
1744941571.871705,316,-1.8475199937820435
1744941582.506447,318,-1.7032999992370605
1744941587.731641,319,-2.0349600315093994
1744941603.385406,322,-1.7427599430084229
1744941681.480351,337,-2.082789897918701
1744941686.673144,338,-1.5872199535369873
1744941712.7292135,343,-1.5341999530792236
1744941723.0528479,345,-2.0002400875091553
1744941728.281749,346,-1.5945700407028198
1744941759.5391676,352,-1.9229799509048462
1744941770.047171,354,-1.7919199466705322
1744941790.9540064,358,-1.920889973640442
1744941822.1016836,364,-1.8284800052642822
1744941827.3000505,365,-1.7697399854660034
1744941832.5133107,366,-1.5757900476455688
1744941837.7802038,367,-1.8197799921035767
1744941895.2934122,378,-1.9529900550842285
1744941936.9304059,386,-1.7031099796295166
1744941957.681797,390,-1.6725800037384033
1744941968.0502756,392,-1.7582299709320068
1744941994.3492672,397,-1.6298600435256958
1744942020.584858,402,-1.5143100023269653
1744942030.9297533,404,-1.652609944343567
1744942088.5348644,415,-2.0187599658966064
1744942120.2026818,421,-1.9389899969100952
1744942125.4427855,422,-1.8571399450302124
1744942146.2085388,426,-2.0342600345611572
1744942197.8316333,436,-1.7901899814605713
1744942202.969631,437,-1.508370041847229
1744942213.2925782,439,-1.8023300170898438
1744942234.0250244,443,-1.9794199466705322
1744942239.29117,444,-1.8651700019836426
1744942249.75612,446,-1.8673299551010132
1744942270.5111718,450,-1.59906005859375
1744942280.8932247,452,-1.7400699853897095
1744942301.6408799,456,-1.8706200122833252
1744942327.5873213,461,-1.5411100387573242
1744942348.5031958,465,-1.516800045967102
1744942364.096228,468,-1.3396400213241577
1744942374.5788805,470,-1.7028599977493286
1744942395.7022588,474,-1.8632299900054932
1744942400.8852153,475,-1.6966899633407593
1744942427.2403224,480,-1.447219967842102
1744942432.5490656,481,-1.5676000118255615
1744942464.1206262,487,-1.7695800065994263
1744942474.6209216,489,-1.8259899616241455
1744942500.6731184,494,-1.5715500116348267
1744942521.5068367,498,-1.6371300220489502
1744942578.8470078,509,-1.6474499702453613
1744942584.0972805,510,-1.8907699584960938
1744942589.3349519,511,-1.6694600582122803
1744942594.5937388,512,-1.7530499696731567
1744942599.8600812,513,-1.5904699563980103
1744942605.0775375,514,-1.92399001121521
1744942620.797969,517,-1.614240050315857
1744942625.9926136,518,-1.7781100273132324
1744942631.2079594,519,-1.7710100412368774
1744942703.6618814,533,-1.6922800540924072
1744942708.881374,534,-1.6958600282669067
1744942719.230117,536,-1.946370005607605
1744942724.4836059,537,-1.9409600496292114
1744942729.653855,538,-1.80731999874115
1744942740.1205847,540,-1.7308100461959839
1744942760.9556882,544,-1.9967399835586548
1744942771.3216972,546,-1.653190016746521
1744942792.367418,550,-1.7812999486923218
1744942802.9084933,552,-1.5879100561141968
1744942824.13226,556,-1.7212899923324585
1744942855.7732618,562,-1.9169399738311768
1744942866.4055367,564,-1.7568999528884888
1744942887.3137326,568,-1.4775099754333496
1744942913.5476391,573,-1.6701899766921997
1744942971.134601,584,-1.7623000144958496
1744942976.3648067,585,-1.6979199647903442
1744942992.0494502,588,-1.663599967956543
1744943002.4860568,590,-1.7930400371551514
1744943007.7425776,591,-1.907789945602417
1744943023.456886,594,-1.7870399951934814
1744943033.8774803,596,-1.8266099691390991
1744943070.4338274,603,-1.6400400400161743
1744943096.4917297,608,-1.8445199728012085
1744943122.6936674,613,-2.0601999759674072
1744943127.974303,614,-1.5210599899291992
1744943169.626634,622,-1.6824300289154053
1744943174.8604424,623,-1.7835899591445923
1744943190.5239465,626,-1.5902199745178223
1744943200.982434,628,-1.8129600286483765
1744943206.2290463,629,-2.000649929046631
1744943227.2667544,633,-2.012010097503662
1744943248.4043396,637,-2.0047500133514404
1744943279.7031255,643,-1.5173300504684448
1744943284.9225388,644,-1.6018600463867188
1744943311.1340108,649,-1.6325199604034424
1744943321.587653,651,-1.8206599950790405
1744943342.54414,655,-1.9895199537277222
1744943358.1306205,658,-2.066390037536621
1744943368.5117998,660,-1.8729300498962402
1744943404.651312,667,-1.9434599876403809
1744943420.060117,670,-1.920799970626831
1744943446.3438635,675,-1.5145699977874756
1744943451.5874977,676,-1.75108003616333
