Wall time,Step,Value
1745025432.6450984,4,2.5294699668884277
1745025487.4323533,14,3.316080093383789
1745025493.0874174,15,3.4326400756835938
1745025509.7874913,18,3.080199956893921
1745025515.3898785,19,3.1954500675201416
1745025532.5633235,22,2.978640079498291
1745025555.126721,26,2.5648200511932373
1745025560.7007978,27,2.338330030441284
1745025634.5726938,40,0.30215999484062195
1745025673.358314,47,-0.3260299861431122
1745025679.1137285,48,-0.5377500057220459
1745025684.6840398,49,-0.6383399963378906
1745025712.5225534,54,-0.9541599750518799
1745025757.8712366,62,-1.052459955215454
1745025763.4359531,63,-1.2533199787139893
1745025780.6734498,66,-1.255560040473938
1745025786.41816,67,-1.1279300451278687
1745025803.283073,70,-1.419950008392334
1745025808.8581889,71,-1.12253999710083
1745025842.9930415,77,-1.4060499668121338
1745025872.0614111,82,-1.4071300029754639
1745025912.7267706,89,-1.9014899730682373
1745025970.743276,99,-1.4593900442123413
1745025994.0853856,103,-1.7679699659347534
1745026012.069199,106,-1.9747200012207031
1745026018.0363555,107,-1.8056700229644775
1745026070.2230532,116,-1.678130030632019
1745026099.4987686,121,-1.5914499759674072
1745026124.2437654,125,-1.6862900257110596
1745026130.2664938,126,-1.5943200588226318
1745026142.0361748,128,-1.678529977798462
1745026153.722391,130,-2.016979932785034
1745026188.9125881,136,-2.086469888687134
1745026194.8244662,137,-1.613569974899292
1745026236.116986,144,-2.1373000144958496
1745026247.8552463,146,-1.915410041809082
1745026253.6957967,147,-1.8944300413131714
1745026271.4165807,150,-1.9750200510025024
1745026312.55083,157,-2.0067200660705566
1745026329.8386152,160,-1.948699951171875
1745026341.4554012,162,-1.7897499799728394
1745026353.1014607,164,-1.910979986190796
1745026393.9905791,171,-1.8734099864959717
1745026399.6884913,172,-1.9459999799728394
1745026428.6036196,177,-1.7389800548553467
1745026468.5065532,184,-1.7931900024414062
1745026474.1469834,185,-1.6454399824142456
1745026479.893932,186,-1.8977299928665161
1745026502.6860707,190,-1.6941299438476562
1745026508.4596124,191,-1.738610029220581
1745026513.994641,192,-1.7376500368118286
1745026553.8965757,199,-1.9732199907302856
1745026571.1042175,202,-1.824489951133728
1745026576.8312268,203,-1.7171399593353271
1745026582.4442782,204,-1.8433500528335571
1745026588.2041118,205,-1.8261699676513672
1745026599.6853955,207,-2.012890100479126
1745026622.553682,211,-1.9732600450515747
1745026634.016164,213,-1.9816700220108032
1745026645.6203213,215,-1.8367500305175781
1745026674.330368,220,-2.0980000495910645
1745026680.0958164,221,-1.8569799661636353
1745026697.2182164,224,-1.6854900121688843
1745026726.0019588,229,-1.907480001449585
1745026812.3352191,244,-1.9509199857711792
1745026817.9387126,245,-1.6927499771118164
1745026823.6715696,246,-1.9281100034713745
1745026892.020634,258,-1.7076400518417358
1745026897.6082845,259,-1.6754000186920166
1745026903.3446202,260,-1.5351799726486206
1745026965.9138868,271,-1.7787200212478638
1745026983.2895694,274,-1.8347500562667847
1745026994.741784,276,-1.8741799592971802
1745027006.24912,278,-1.6149200201034546
1745027028.9311368,282,-1.9407800436019897
1745027046.300286,285,-1.7673900127410889
1745027063.747007,288,-1.768030047416687
1745027075.1543112,290,-1.6045000553131104
1745027104.0724907,295,-1.852869987487793
1745027115.675472,297,-1.947950005531311
1745027121.4265518,298,-1.9702800512313843
1745027167.5444555,306,-1.7494399547576904
1745027178.9010346,308,-2.034060001373291
1745027201.729142,312,-1.9295200109481812
1745027224.8431032,316,-1.620229959487915
1745027235.9509444,318,-1.797659993171692
1745027241.5469124,319,-1.6361099481582642
1745027258.3750587,322,-1.953160047531128
1745027342.7740345,337,-1.7234300374984741
1745027348.2683456,338,-1.8541799783706665
1745027376.2195551,343,-1.809730052947998
1745027387.5988696,345,-2.02878999710083
1745027393.2393446,346,-1.6396299600601196
1745027426.9977427,352,-1.885259985923767
1745027438.2673397,354,-1.6461100578308105
1745027460.983999,358,-2.0743000507354736
1745027495.1453028,364,-2.0259299278259277
1745027500.674997,365,-1.7141300439834595
1745027506.417511,366,-1.7448999881744385
1745027512.1317332,367,-1.487030029296875
1745027574.6651642,378,-1.7834700345993042
1745027619.540406,386,-1.5686899423599243
1745027642.249044,390,-1.7927600145339966
1745027653.435555,392,-1.6364099979400635
1745027682.1126688,397,-1.912269949913025
1745027710.5717926,402,-1.860859990119934
1745027721.9921682,404,-1.898210048675537
1745027784.6031897,415,-2.0670900344848633
1745027818.4096453,421,-1.9235999584197998
1745027824.037157,422,-1.639389991760254
1745027846.8243427,426,-1.7860599756240845
1745027902.9447944,436,-1.5936599969863892
1745027908.5579886,437,-1.992650032043457
1745027919.8856003,439,-1.606660008430481
1745027942.5656064,443,-2.0971899032592773
1745027948.226426,444,-1.442710041999817
1745027959.6603303,446,-1.9676899909973145
1745027982.5779252,450,-1.7854000329971313
1745027993.946787,452,-1.665310025215149
1745028017.0063903,456,-1.7410099506378174
1745028045.9030054,461,-1.7825299501419067
1745028068.915048,465,-1.7684199810028076
1745028086.1404765,468,-1.8840999603271484
1745028097.7763362,470,-2.056269884109497
1745028120.679267,474,-1.718809962272644
1745028126.371112,475,-1.6166399717330933
1745028154.6495452,480,-1.7878899574279785
1745028160.3730834,481,-1.785789966583252
1745028194.8001006,487,-2.085930109024048
1745028206.3111808,489,-1.7763700485229492
1745028234.8048885,494,-1.8052799701690674
1745028257.556984,498,-1.763159990310669
1745028320.9896193,509,-1.5003199577331543
1745028326.7175043,510,-1.642490029335022
1745028332.4398358,511,-1.8037899732589722
1745028338.334412,512,-1.7666200399398804
1745028344.119843,513,-1.4405900239944458
1745028349.656251,514,-1.9341800212860107
1745028366.7407653,517,-1.8001500368118286
1745028372.7124755,518,-1.4775999784469604
1745028378.5078328,519,-1.794800043106079
1745028457.978639,533,-1.4836499691009521
1745028463.8004842,534,-1.6048400402069092
1745028475.407984,536,-1.7169100046157837
1745028480.960079,537,-1.858180046081543
1745028486.6485438,538,-2.0344200134277344
1745028498.2084825,540,-1.6639100313186646
1745028521.3391018,544,-1.6141400337219238
1745028532.6512532,546,-1.9165699481964111
1745028555.7587242,550,-1.8227699995040894
1745028567.2053483,552,-1.6189199686050415
1745028590.2483761,556,-1.9910500049591064
1745028624.5946763,562,-1.6937600374221802
1745028636.1419604,564,-1.3287800550460815
1745028659.149825,568,-1.5189100503921509
1745028687.5385923,573,-1.4558900594711304
1745028749.4996147,584,-1.665969967842102
1745028755.3442307,585,-1.897570013999939
1745028772.2784917,588,-1.90871000289917
1745028783.4304614,590,-1.5105299949645996
1745028789.0216496,591,-1.5026999711990356
1745028805.9216628,594,-1.805709958076477
1745028817.3344488,596,-1.9913599491119385
1745028857.9631999,603,-1.7312300205230713
1745028886.297939,608,-1.8586599826812744
1745028914.5420187,613,-1.782639980316162
1745028920.2266996,614,-1.8070800304412842
1745028964.9674807,622,-1.6173800230026245
1745028970.6693351,623,-2.018359899520874
1745028987.8304827,626,-1.6007499694824219
1745028999.1554868,628,-1.9865000247955322
1745029004.8849416,629,-1.429260015487671
1745029027.6299887,633,-1.810539960861206
1745029050.5930986,637,-1.646780014038086
1745029084.866526,643,-2.067960023880005
1745029090.5642996,644,-1.8409500122070312
1745029118.7063456,649,-1.7359399795532227
1745029129.8854144,651,-1.4847999811172485
1745029152.499896,655,-1.6454099416732788
1745029169.6338146,658,-1.693660020828247
1745029181.0532548,660,-1.8741400241851807
1745029221.5838716,667,-1.7395000457763672
1745029238.3590577,670,-2.157219886779785
1745029267.036005,675,-2.0674400329589844
1745029272.7623575,676,-1.6950500011444092
1745029295.8995292,680,-1.8092600107192993
1745029319.0038023,684,-2.1650099754333496
1745029364.5955763,692,-1.8088500499725342
1745029375.9970684,694,-1.7900199890136719
1745029387.314355,696,-1.8208800554275513
1745029392.9518542,697,-1.7771600484848022
1745029421.8016455,702,-1.5669900178909302
1745029467.459288,710,-1.8356900215148926
1745029495.7797863,715,-1.9388699531555176
1745029529.7753005,721,-1.6433199644088745
1745029540.824445,723,-1.7416199445724487
1745029551.798081,725,-1.4558500051498413
1745029557.4146245,726,-1.8524099588394165
1745029568.9658434,728,-1.8089499473571777
1745029574.767003,729,-1.6706500053405762
1745029586.1190753,731,-1.977929949760437
1745029591.63831,732,-1.4441499710083008
1745029597.2426813,733,-1.6439900398254395
1745029625.7294793,738,-2.088740110397339
1745029659.7304885,744,-1.8019499778747559
1745029772.7613673,764,-1.942520022392273
1745029778.5088491,765,-1.811579942703247
1745029818.3055398,772,-1.570180058479309
1745029835.2507873,775,-1.758620023727417
1745029840.9755278,776,-1.7426999807357788
1745029852.516394,778,-1.676010012626648
1745029864.0762787,780,-1.5822499990463257
1745029875.2167165,782,-1.759310007095337
1745029908.8483396,788,-1.5424200296401978
1745029999.6487703,804,-1.88086998462677
1745030005.3181722,805,-1.9540200233459473
1745030016.6534376,807,-1.6892399787902832
1745030034.0531347,810,-1.6401000022888184
1745030079.4881911,818,-1.8155299425125122
1745030085.2274308,819,-2.0254900455474854
1745030136.3312821,828,-1.941890001296997
1745030159.1445343,832,-1.8801699876785278
1745030164.6266994,833,-1.792829990386963
1745030175.7962327,835,-2.1412100791931152
1745030181.4647527,836,-1.7538399696350098
1745030198.4063835,839,-1.808459997177124
1745030204.1422713,840,-1.6913299560546875
1745030221.4263287,843,-1.8539999723434448
1745030233.1723864,845,-1.8396600484848022
1745030267.1204424,851,-1.729830026626587
1745030301.2533593,857,-1.9322500228881836
1745030317.9944105,860,-1.5581300258636475
1745030329.596787,862,-1.516569972038269
1745030352.448594,866,-1.71697998046875
1745030375.0369813,870,-1.7856099605560303
1745030380.5556722,871,-1.724370002746582
1745030455.5837107,884,-1.8378499746322632
1745030466.9870386,886,-1.6590700149536133
1745030501.3904457,892,-1.9701900482177734
1745030518.6458642,895,-1.7210700511932373
1745030530.127849,897,-2.0688600540161133
1745030553.2273593,901,-1.6886299848556519
1745030559.0508347,902,-1.8003300428390503
1745030593.4838824,908,-1.887719988822937
1745030604.8854818,910,-1.8024200201034546
1745030650.8087466,918,-1.671720027923584
1745030667.997067,921,-1.679919958114624
1745030708.1468575,928,-1.4118399620056152
1745030719.6530674,930,-1.9561899900436401
1745030725.2686467,931,-1.7174700498580933
1745030731.0178616,932,-1.5987099409103394
1745030787.0743093,942,-1.8018300533294678
1745030826.4815807,949,-1.3738499879837036
1745030843.7054968,952,-1.7225699424743652
1745030860.699701,955,-1.7974499464035034
1745030906.4951591,963,-1.5932799577713013
1745030991.7621176,978,-1.912410020828247
1745030997.7186432,979,-1.685629963874817
1745031014.9774506,982,-1.5595999956130981
1745031038.6466744,986,-1.585070013999939
1745031061.8720386,990,-1.7574599981307983
1745031073.18165,992,-1.5673999786376953
1745031084.5929132,994,-1.642680048942566
1745031113.486784,999,-1.7189799547195435
1745031130.8867753,1002,-1.5183600187301636
1745031136.4633157,1003,-1.6713199615478516
1745031142.0749488,1004,-1.6901999711990356
1745031153.4440386,1006,-1.5843499898910522
1745031193.780625,1013,-1.6274499893188477
1745031205.2919395,1015,-1.442870020866394
1745031245.2370734,1022,-1.9733400344848633
1745031267.7603955,1026,-2.076040029525757
1745031279.2811642,1028,-1.9145900011062622
1745031320.0193052,1035,-1.679229974746704
1745031325.87326,1036,-1.7572100162506104
1745031331.668682,1037,-1.994230031967163
1745031366.1637478,1043,-1.586859941482544
1745031383.0360527,1046,-1.8436000347137451
1745031439.6236446,1056,-1.9456100463867188
1745031462.9294589,1060,-1.7508100271224976
1745031474.2818165,1062,-1.7393100261688232
1745031519.9093916,1070,-1.689329981803894
1745031525.5585508,1071,-1.7632900476455688
1745031536.8274336,1073,-1.5037399530410767
1745031559.6608315,1077,-1.8633400201797485
1745031576.7485952,1080,-1.925819993019104
1745031610.8397508,1086,-1.5726200342178345
1745031616.5165107,1087,-1.801609992980957
1745031679.8462927,1098,-1.5898799896240234
1745031702.493545,1102,-1.533270001411438
1745031713.864748,1104,-1.8229600191116333
1745031730.6445572,1107,-1.9150199890136719
1745031742.3344579,1109,-1.955340027809143
1745031753.684772,1111,-1.7001299858093262
1745031770.5018284,1114,-1.757680058479309
1745031810.0845978,1121,-1.9937000274658203
1745031816.0718846,1122,-1.9637399911880493
1745031832.972921,1125,-1.9904999732971191
1745031838.5554857,1126,-1.7022099494934082
1745031855.0579197,1129,-1.6649399995803833
1745031871.8723373,1132,-1.780269980430603
1745031883.4479442,1134,-1.5452100038528442
1745031912.3779376,1139,-1.780809998512268
1745031952.706189,1146,-1.8173099756240845
1745031980.6542625,1151,-1.7494800090789795
1745031986.3760207,1152,-1.8410600423812866
1745032042.935936,1162,-1.523710012435913
1745032054.355013,1164,-2.093909978866577
1745032110.7689226,1174,-1.8100999593734741
1745032122.2019422,1176,-1.7437299489974976
1745032128.0522852,1177,-1.8103599548339844
1745032156.553606,1182,-1.8594900369644165
1745032168.1615946,1184,-1.466130018234253
1745032196.6533933,1189,-1.3948700428009033
1745032219.4364972,1193,-1.923110008239746
1745032225.0547636,1194,-1.7951500415802002
1745032241.8985956,1197,-2.0239500999450684
1745032291.851128,1206,-1.7718100547790527
1745032335.9422019,1214,-1.8197599649429321
1745032357.8608706,1218,-1.9323699474334717
1745032385.4991722,1223,-2.0589399337768555
1745032396.6806307,1225,-1.6082700490951538
1745032418.5906093,1229,-1.6454999446868896
1745032501.110032,1244,-1.7967499494552612
1745032512.1443255,1246,-1.6606899499893188
1745032534.594326,1250,-1.8271100521087646
1745032539.956485,1251,-1.5319900512695312
1745032545.3030374,1252,-1.8503400087356567
1745032556.3845046,1254,-1.9163099527359009
1745032572.95374,1257,-1.698830008506775
1745032589.8836267,1260,-1.6321200132369995
1745032595.465618,1261,-1.8249900341033936
1745032628.9411962,1267,-1.6861000061035156
1745032651.1887796,1271,-1.8397400379180908
1745032679.0985866,1276,-2.183459997177124
1745032690.0458179,1278,-1.954259991645813
1745032712.1703603,1282,-1.690500020980835
1745032728.6790707,1285,-1.9184099435806274
1745032756.347243,1290,-1.8099000453948975
1745032772.9214773,1293,-2.1058199405670166
1745032800.430014,1298,-1.7996799945831299
1745032805.948176,1299,-1.6556600332260132
1745032823.4013503,1302,-1.8874900341033936
1745032845.223862,1306,-1.774399995803833
1745032895.0273428,1315,-1.9104700088500977
1745032933.8245325,1322,-1.6313799619674683
1745032950.0196733,1325,-1.6595499515533447
1745032955.5458367,1326,-1.6875499486923218
1745033005.144444,1335,-1.6850999593734741
1745033060.354099,1345,-1.774109959602356
1745033076.4556122,1348,-2.0261800289154053
1745033109.824389,1354,-1.778540015220642
1745033143.1194687,1360,-1.4084800481796265
1745033165.2079647,1364,-1.7549599409103394
1745033186.9958234,1368,-1.5925400257110596
1745033224.6316652,1375,-1.8370599746704102
1745033229.9505355,1376,-1.6539299488067627
1745033251.8629255,1380,-1.607990026473999
1745033284.5421758,1386,-1.5946500301361084
1745033306.600858,1390,-1.6450200080871582
1745033323.0475357,1393,-1.6523300409317017
1745033345.561357,1397,-1.6741900444030762
1745033454.8027937,1417,-1.6662399768829346
1745033476.7205598,1421,-1.3198299407958984
1745033531.1695588,1431,-1.8679699897766113
1745033558.3517973,1436,-1.666290044784546
1745033569.2324722,1438,-1.5489200353622437
1745033574.671813,1439,-1.7085800170898438
1745033580.0677266,1440,-1.7468500137329102
1745033585.5510225,1441,-1.6874300241470337
