Wall time,Step,Value
1744939916.2669802,4,3.3203001022338867
1744939985.2422752,14,4.329440116882324
1744939992.1488066,15,4.620359897613525
1744940013.3051903,18,4.950250148773193
1744940020.3322315,19,4.736189842224121
1744940041.9122398,22,5.444340229034424
1744940071.2386389,26,5.146810054779053
1744940078.6059098,27,5.684659957885742
1744940174.2520025,40,4.261940002441406
1744940224.0331516,47,2.9250199794769287
1744940231.1921382,48,2.8947300910949707
1744940238.3884277,49,2.733949899673462
1744940274.45391,54,1.7455999851226807
1744940332.4093041,62,0.7210900187492371
1744940339.8562827,63,0.5868399739265442
1744940361.645629,66,0.1685599982738495
1744940368.9212008,67,0.013829999603331089
1744940390.7437181,70,-0.44225001335144043
1744940398.040334,71,-0.4680599868297577
1744940441.3299706,77,-1.2362600564956665
1744940477.7252953,82,-1.965399980545044
1744940528.309516,89,-2.4696600437164307
1744940599.3245924,99,-3.503999948501587
1744940627.3681371,103,-4.019780158996582
1744940648.1637647,106,-4.381499767303467
1744940655.0472796,107,-4.544419765472412
1744940716.601332,116,-5.38116979598999
1744940750.4850898,121,-5.930419921875
1744940777.2147517,125,-6.6220197677612305
1744940783.9279032,126,-6.474410057067871
1744940797.3918877,128,-6.834310054779053
1744940810.731229,130,-7.003880023956299
1744940850.6655753,136,-7.82411003112793
1744940857.2801826,137,-7.802110195159912
1744940903.407683,144,-8.675829887390137
1744940917.1395607,146,-8.681559562683105
1744940924.1256044,147,-8.82666015625
1744940944.2242332,150,-9.295999526977539
1744940989.728545,157,-10.174909591674805
1744941009.0858622,160,-10.59473991394043
1744941022.274582,162,-10.773070335388184
1744941035.6666813,164,-11.054590225219727
1744941082.534808,171,-11.686530113220215
1744941088.7130039,172,-11.769760131835938
1744941119.4180646,177,-12.098759651184082
1744941164.2576914,184,-12.692939758300781
1744941170.794802,185,-12.874890327453613
1744941177.2318206,186,-13.074410438537598
1744941203.380664,190,-13.395190238952637
1744941209.8347764,191,-13.439040184020996
1744941216.284159,192,-13.668880462646484
1744941260.8945346,199,-14.05033016204834
1744941279.2597961,202,-14.371870040893555
1744941285.3594654,203,-14.353870391845703
1744941291.3649616,204,-14.756540298461914
1744941297.3346696,205,-14.824580192565918
1744941309.2402139,207,-14.925239562988281
1744941333.608108,211,-15.135809898376465
1744941346.4560454,213,-15.432729721069336
1744941359.3831103,215,-15.982830047607422
1744941391.9079573,220,-16.998809814453125
1744941398.1651108,221,-16.41029930114746
1744941416.3826132,224,-16.850109100341797
1744941449.1051388,229,-17.55898094177246
1744941549.6874104,244,-20.390439987182617
1744941556.2754798,245,-20.138870239257812
1744941562.810687,246,-19.998699188232422
1744941642.8333728,258,-21.511449813842773
1744941649.7312658,259,-21.685209274291992
1744941656.6251516,260,-21.693950653076172
1744941729.2873588,271,-23.244739532470703
1744941749.1450224,274,-23.21194076538086
1744941761.63423,276,-23.459640502929688
1744941775.068957,278,-23.882190704345703
1744941800.6807747,282,-24.44706916809082
1744941820.8269358,285,-24.902830123901367
1744941840.7390254,288,-24.88286018371582
1744941852.9958751,290,-24.93781089782715
1744941883.6020262,295,-27.083219528198242
1744941896.830364,297,-26.626989364624023
1744941903.5956185,298,-26.078950881958008
1744941955.9721637,306,-27.985620498657227
1744941968.9037821,308,-28.4749698638916
1744941995.620058,312,-29.47467041015625
1744942022.3909035,316,-29.23784065246582
1744942036.0411043,318,-29.722339630126953
1744942042.8296628,319,-29.23866081237793
1744942063.353561,322,-30.232540130615234
1744942164.8553712,337,-31.883129119873047
1744942171.5182374,338,-32.00497817993164
1744942203.9245882,343,-32.86716842651367
1744942216.351827,345,-33.61589050292969
1744942222.3876288,346,-33.43769836425781
1744942260.747009,352,-32.999629974365234
1744942274.351555,354,-33.5089111328125
1744942301.8611705,358,-34.705291748046875
1744942342.6682873,364,-34.27893829345703
1744942349.426698,365,-36.109249114990234
