Wall time,Step,Value
1745025439.2152972,4,3.8337600231170654
1745025508.318437,14,4.246890068054199
1745025515.4992573,15,4.91156005859375
1745025536.889415,18,4.53734016418457
1745025543.9346416,19,5.265550136566162
1745025565.7496858,22,5.701449871063232
1745025595.5207942,26,6.137599945068359
1745025602.8033602,27,5.362500190734863
1745025702.546603,40,5.258600234985352
1745025757.2873144,47,4.715630054473877
1745025764.98288,48,4.821410179138184
1745025772.8650088,49,3.759269952774048
1745025811.9542353,54,3.284990072250366
1745025876.4137352,62,2.0996999740600586
1745025884.777594,63,1.6785099506378174
1745025908.7394023,66,1.5329500436782837
1745025916.8389053,67,1.1430200338363647
1745025940.8721535,70,1.2522200345993042
1745025948.9091663,71,1.0248600244522095
1745025997.7552984,77,0.27000001072883606
1745026037.9859145,82,-0.026410000398755074
1745026093.601354,89,-0.8068400025367737
1745026174.9428504,99,-1.8987699747085571
1745026206.7876189,103,-2.2248499393463135
1745026230.67353,106,-2.660559892654419
1745026238.6251104,107,-2.674220085144043
1745026309.2140753,116,-3.416440010070801
1745026347.9127204,121,-3.963279962539673
1745026379.1550577,125,-4.502140045166016
1745026386.8249872,126,-4.6975297927856445
1745026402.0179818,128,-4.674749851226807
1745026417.3949013,130,-5.3849101066589355
1745026462.3731177,136,-5.918330192565918
1745026469.8962338,137,-6.241580009460449
1745026520.018175,144,-7.032470226287842
1745026533.732694,146,-6.939320087432861
1745026540.738307,147,-7.352350234985352
1745026561.6599922,150,-7.578639984130859
1745026611.6831677,157,-8.622119903564453
1745026632.6241767,160,-9.142939567565918
1745026646.9018633,162,-9.489450454711914
1745026661.4141119,164,-9.49446964263916
1745026711.5358536,171,-10.346549987792969
1745026718.5154116,172,-10.468290328979492
1745026754.3090088,177,-11.243419647216797
1745026805.0567324,184,-12.042240142822266
1745026812.0586464,185,-11.973299980163574
1745026818.7470827,186,-12.09727954864502
1745026845.1597471,190,-12.068389892578125
1745026851.936002,191,-12.328940391540527
1745026858.7687864,192,-12.888899803161621
1745026908.8057275,199,-12.814940452575684
1745026931.0549612,202,-13.253250122070312
1745026938.5619812,203,-13.364060401916504
1745026946.0260997,204,-13.004130363464355
1745026953.282086,205,-13.442489624023438
1745026967.606323,207,-14.235799789428711
1745026997.30273,211,-13.551650047302246
1745027012.092456,213,-13.380760192871094
1745027026.7836869,215,-13.968850135803223
1745027064.6817203,220,-14.676989555358887
1745027072.033832,221,-15.133230209350586
1745027094.4163165,224,-15.672869682312012
1745027132.0952,229,-16.373029708862305
1745027244.7722259,244,-19.74435043334961
1745027251.599604,245,-19.860790252685547
1745027258.7561436,246,-19.45553970336914
1745027344.0692525,258,-21.549150466918945
1745027351.2910602,259,-21.907869338989258
1745027358.684254,260,-20.972429275512695
1745027433.8907387,271,-22.762929916381836
1745027455.5297592,274,-22.68733024597168
1745027470.1848662,276,-22.641380310058594
1745027484.9825392,278,-22.364360809326172
1745027514.03279,282,-22.938880920410156
1745027535.6524725,285,-23.181209564208984
1745027557.0896904,288,-22.805320739746094
1745027571.4692912,290,-22.772859573364258
1745027608.4687245,295,-23.093669891357422
1745027622.5893614,297,-23.810699462890625
1745027629.6711004,298,-23.14653968811035
1745027686.378689,306,-24.53675079345703
1745027700.6280065,308,-23.610780715942383
1745027728.9614427,312,-24.68433952331543
1745027757.1532874,316,-24.722309112548828
1745027771.3576736,318,-25.423120498657227
1745027778.4462624,319,-25.478500366210938
1745027800.507507,322,-26.742860794067383
1745027910.5567503,337,-29.339229583740234
1745027918.146545,338,-28.963260650634766
1745027956.106671,343,-31.207839965820312
1745027971.311239,345,-32.38397979736328
1745027978.6392965,346,-30.24687957763672
1745028023.7060137,352,-33.282100677490234
1745028039.0749984,354,-33.0512809753418
1745028069.5472443,358,-32.646690368652344
1745028115.1320531,364,-33.59621047973633
1745028122.6747317,365,-35.728538513183594
1745028130.0959957,366,-32.63288116455078
1745028137.611609,367,-34.113258361816406
1745028219.407006,378,-32.38011932373047
1745028280.5522962,386,-33.66936111450195
1745028311.322339,390,-34.96010971069336
1745028326.559261,392,-34.02518081665039
1745028364.2584953,397,-35.54079055786133
1745028401.047602,402,-36.714290618896484
1745028415.0549803,404,-35.38978958129883
1745028498.6105325,415,-39.99557876586914
1745028544.2122164,421,-42.202579498291016
1745028551.9119399,422,-41.80186080932617
1745028582.0351844,426,-43.96834945678711
1745028656.0611954,436,-44.311981201171875
1745028663.5232308,437,-45.44567108154297
1745028678.6473157,439,-44.92755889892578
1745028708.9942179,443,-47.18172836303711
1745028716.5973392,444,-47.119850158691406
1745028732.1369817,446,-48.48175048828125
1745028762.928446,450,-47.40420913696289
1745028777.8717015,452,-49.551361083984375
1745028808.200345,456,-49.20240020751953
1745028845.777719,461,-49.014610290527344
1745028875.9153192,465,-49.9139404296875
1745028898.011942,468,-49.41617965698242
1745028913.149089,470,-49.590919494628906
1745028943.4751267,474,-51.404239654541016
1745028951.063187,475,-49.98112869262695
1745028989.2261505,480,-51.93891143798828
1745028996.7948532,481,-52.62192916870117
1745029042.8033538,487,-51.88772964477539
1745029058.098472,489,-51.15629959106445
1745029095.7131715,494,-50.44717025756836
1745029125.3439019,498,-51.66836166381836
1745029207.169682,509,-55.343929290771484
1745029214.8766696,510,-53.050479888916016
1745029222.249642,511,-54.05099868774414
1745029229.5684617,512,-54.108890533447266
1745029236.9384875,513,-51.8359489440918
1745029244.4516938,514,-54.7136116027832
1745029266.5235858,517,-53.58222961425781
1745029273.7346337,518,-56.3828010559082
1745029281.1625776,519,-56.280941009521484
1745029386.279701,533,-58.17045974731445
1745029393.8541927,534,-57.79185104370117
1745029409.1427352,536,-60.22002029418945
1745029416.7523854,537,-58.8944206237793
1745029424.2945383,538,-59.750179290771484
1745029439.4539707,540,-58.84959030151367
1745029469.4395416,544,-59.10054016113281
1745029484.587483,546,-60.76496124267578
1745029514.6549382,550,-58.579620361328125
1745029529.7555192,552,-59.077178955078125
1745029559.0650513,556,-58.98429870605469
1745029604.0284724,562,-60.25410079956055
1745029619.1372201,564,-61.585121154785156
1745029649.072609,568,-60.74871063232422
1745029686.0076647,573,-59.660499572753906
1745029769.1132,584,-62.7541389465332
1745029776.6987417,585,-62.92515182495117
1745029798.9739392,588,-62.58177185058594
1745029813.7677882,590,-63.40892028808594
1745029821.1715174,591,-61.90528106689453
1745029843.6611698,594,-63.94392013549805
1745029858.9063828,596,-59.63203048706055
1745029910.210611,603,-62.62405014038086
1745029947.619585,608,-64.87020874023438
1745029985.2256165,613,-66.14071655273438
1745029992.7346141,614,-66.83659362792969
1745030052.1044111,622,-65.99717712402344
1745030059.2424443,623,-68.8267822265625
1745030080.7812636,626,-66.69072723388672
1745030095.199779,628,-65.3885269165039
1745030102.268932,629,-65.83294677734375
1745030132.064177,633,-66.16417694091797
1745030161.9206836,637,-63.85969924926758
1745030205.4579184,643,-67.5895004272461
1745030212.5013554,644,-68.0708236694336
1745030248.5890746,649,-59.122230529785156
1745030263.3756573,651,-63.63758087158203
1745030292.394961,655,-59.283111572265625
1745030314.2024965,658,-54.92987823486328
1745030329.1380925,660,-59.58591079711914
1745030380.9688447,667,-49.67382049560547
1745030403.917576,670,-55.16714096069336
1745030440.7884674,675,-56.618099212646484
1745030447.8888812,676,-59.79991149902344
1745030475.990692,680,-53.076908111572266
1745030504.2111375,684,-56.07807159423828
1745030563.1491482,692,-52.08243942260742
1745030578.002578,694,-66.00788879394531
1745030593.258177,696,-60.189579010009766
1745030600.4906323,697,-66.5028305053711
1745030638.1072686,702,-59.912200927734375
1745030698.5941074,710,-73.47760772705078
1745030736.4768786,715,-73.30963134765625
1745030781.8334355,721,-78.62779235839844
1745030797.184309,723,-78.46647644042969
1745030812.3823302,725,-79.77366638183594
1745030820.0433102,726,-80.5963363647461
1745030835.2549074,728,-82.67239379882812
1745030842.8214805,729,-82.50499725341797
1745030857.783047,731,-82.92682647705078
1745030865.5212965,732,-80.83833312988281
1745030873.1449904,733,-84.20393371582031
1745030911.4416022,738,-81.57467651367188
1745030957.1313932,744,-84.34474182128906
1745031110.4740753,764,-81.37872314453125
1745031118.0211847,765,-81.38845825195312
1745031170.9107265,772,-82.54428100585938
1745031193.860097,775,-82.5439224243164
1745031201.5550554,776,-80.58740234375
1745031216.5230098,778,-80.29340362548828
1745031231.171352,780,-79.60308837890625
1745031245.9123526,782,-80.98805236816406
1745031289.191662,788,-74.994873046875
1745031404.5191073,804,-75.25404357910156
1745031411.7220068,805,-72.87821197509766
1745031425.5153277,807,-72.41532897949219
1745031447.2617416,810,-71.93205261230469
1745031506.9508853,818,-77.90606689453125
1745031514.6476014,819,-75.29788970947266
1745031582.6252894,828,-84.48370361328125
1745031612.5039089,832,-85.26127624511719
1745031619.9350674,833,-84.96980285644531
1745031634.1741855,835,-86.92353820800781
1745031641.528899,836,-84.18247985839844
1745031664.3203752,839,-86.43531036376953
1745031672.15464,840,-87.9477767944336
1745031694.6100059,843,-89.51127624511719
1745031709.1812737,845,-88.26101684570312
1745031753.2966049,851,-88.0190200805664
1745031797.3301423,857,-89.915283203125
1745031820.23377,860,-89.78321838378906
1745031835.0533855,862,-88.37690734863281
1745031864.3104413,866,-89.2093734741211
1745031894.652544,870,-91.60971069335938
1745031901.9893413,871,-85.31085205078125
1745031999.3141434,884,-92.54464721679688
1745032014.0885286,886,-91.44790649414062
1745032059.41246,892,-97.2606430053711
1745032081.9939528,895,-97.77915954589844
1745032096.9031353,897,-97.8360595703125
1745032126.7165153,901,-100.5937728881836
1745032134.43815,902,-101.19872283935547
1745032178.9305706,908,-102.13421630859375
1745032192.8776152,910,-100.9727783203125
1745032250.838373,918,-95.3844223022461
1745032272.062628,921,-94.66085815429688
1745032321.2160149,928,-85.63426971435547
1745032335.87479,930,-89.13433074951172
1745032343.205851,931,-76.20984649658203
1745032350.5229218,932,-81.92677307128906
1745032422.379855,942,-69.80187225341797
1745032473.2968824,949,-68.56831359863281
1745032493.9859748,952,-70.18441772460938
1745032515.056316,955,-67.10859680175781
1745032573.3787098,963,-78.40474700927734
1745032682.8734624,978,-81.07051086425781
1745032690.047949,979,-82.02568054199219
1745032711.4172192,982,-80.6081771850586
1745032740.9438634,986,-78.36234283447266
1745032770.5071065,990,-80.012939453125
1745032785.5293968,992,-83.90483093261719
1745032800.1981113,994,-85.10320281982422
1745032837.6817818,999,-85.51555633544922
1745032860.1225114,1002,-86.04808044433594
1745032867.4594386,1003,-82.67447662353516
1745032875.101624,1004,-88.64747619628906
1745032890.1147354,1006,-89.70387268066406
1745032941.2878768,1013,-87.400390625
1745032955.9047768,1015,-90.15799713134766
1745033007.9950147,1022,-92.96006774902344
1745033037.8591378,1026,-93.70301818847656
