Wall time,Step,Value
1745025432.9233794,4,2.623850107192993
1745025488.0155842,14,3.723249912261963
1745025493.5635257,15,3.684730052947998
1745025510.3658314,18,4.340539932250977
1745025516.0194418,19,4.378069877624512
1745025533.2987049,22,4.047790050506592
1745025556.0440228,26,3.8720500469207764
1745025561.641302,27,3.9626500606536865
1745025636.4861991,40,1.4787800312042236
1745025675.751821,47,0.10482999682426453
1745025681.4845033,48,0.26116999983787537
1745025687.0124452,49,-0.2923299968242645
1745025715.371057,54,-0.5631899833679199
1745025761.4195251,62,-1.6406099796295166
1745025767.2280333,63,-1.640120029449463
1745025784.7364945,66,-2.031949996948242
1745025790.5444083,67,-2.253200054168701
1745025807.8391483,70,-2.5742900371551514
1745025813.5312648,71,-2.624150037765503
1745025848.6184464,77,-2.9650399684906006
1745025878.6171107,82,-2.9148800373077393
1745025919.9635568,89,-3.7697999477386475
1745025979.304668,99,-3.7625999450683594
1745026003.8425303,103,-4.4733500480651855
1745026022.0340693,106,-4.2495598793029785
1745026027.9151707,107,-4.565939903259277
1745026081.3708007,116,-4.519979953765869
1745026112.6918256,121,-5.568490028381348
1745026137.1253312,125,-5.414589881896973
1745026143.118242,126,-5.024600028991699
1745026155.113538,128,-4.886710166931152
1745026167.287074,130,-4.681719779968262
1745026203.765498,136,-5.353219985961914
1745026210.043743,137,-4.606389999389648
1745026253.0940764,144,-5.5188398361206055
1745026265.3809154,146,-5.353030204772949
1745026271.5533626,147,-5.1508097648620605
1745026290.1566186,150,-5.331820011138916
1745026333.2892642,157,-5.338520050048828
1745026351.832266,160,-4.972099781036377
1745026364.5309691,162,-6.150750160217285
1745026376.8801403,164,-5.08689022064209
1745026419.2062118,171,-5.472410202026367
1745026425.0942924,172,-5.111770153045654
1745026454.9428337,177,-5.203889846801758
1745026496.5635343,184,-5.630060195922852
1745026502.6061058,185,-5.684309959411621
1745026508.5073724,186,-5.809010028839111
1745026531.5831544,190,-5.5974202156066895
1745026537.5091846,191,-5.697859764099121
1745026543.4392529,192,-5.5181498527526855
1745026584.9506626,199,-5.771719932556152
1745026602.7602465,202,-4.296259880065918
1745026608.6559827,203,-5.746799945831299
1745026614.4826267,204,-4.968929767608643
1745026620.2709262,205,-5.168869972229004
1745026631.8978326,207,-5.592589855194092
1745026655.4705162,211,-5.300179958343506
1745026667.3244035,213,-4.769229888916016
1745026678.8064764,215,-4.867790222167969
1745026707.9797409,220,-5.243199825286865
1745026713.8442607,221,-5.173890113830566
1745026731.4553454,224,-4.583829879760742
1745026760.8038797,229,-5.5542402267456055
1745026848.9874501,244,-5.9349799156188965
1745026855.0142963,245,-5.843890190124512
1745026861.0249932,246,-5.702300071716309
1745026932.291283,258,-5.563849925994873
1745026938.1710384,259,-5.486000061035156
1745026944.133736,260,-5.711520195007324
1745027009.960587,271,-6.033070087432861
1745027027.3976505,274,-4.901309967041016
1745027039.295843,276,-5.005519866943359
1745027051.1190808,278,-5.853529930114746
1745027074.7635977,282,-5.7989501953125
1745027092.999388,285,-5.3580498695373535
1745027111.0982215,288,-5.1142802238464355
1745027123.1354263,290,-5.414760112762451
1745027153.21637,295,-4.957499980926514
1745027164.767343,297,-5.3384199142456055
1745027170.6178832,298,-4.858920097351074
1745027217.6052084,306,-6.44419002532959
1745027229.1786258,308,-5.172810077667236
1745027251.8579228,312,-6.03341007232666
1745027275.0225976,316,-5.498600006103516
1745027286.514073,318,-4.5602498054504395
1745027292.145526,319,-5.360869884490967
1745027309.4932048,322,-3.7863500118255615
1745027395.1084993,337,-5.3921098709106445
1745027400.839851,338,-5.354690074920654
1745027430.0557323,343,-4.6180500984191895
1745027441.647975,345,-5.100729942321777
1745027447.585388,346,-4.75786018371582
1745027482.9763653,352,-4.962490081787109
