Wall time,Step,Value
1744939911.5156708,4,3.1110599040985107
1744939970.0192988,14,4.3088297843933105
1744939976.0116036,15,4.420919895172119
1744939993.9762437,18,5.242469787597656
1744939999.975724,19,5.475510120391846
1744940018.3128238,22,5.402369976043701
1744940042.6776624,26,5.186490058898926
1744940048.7626865,27,5.23291015625
1744940127.6323647,40,3.5927700996398926
1744940168.0486221,47,2.67615008354187
1744940173.825277,48,3.296639919281006
1744940179.5620692,49,2.33597993850708
1744940208.218585,54,2.2337000370025635
1744940254.3125305,62,1.4913400411605835
1744940260.0551865,63,1.143839955329895
1744940277.387921,66,0.8312199711799622
1744940283.1814241,67,0.9781100153923035
1744940300.6029282,70,0.09702000021934509
1744940306.4599962,71,0.17452000081539154
1744940342.0410526,77,0.17350000143051147
1744940371.8932278,82,-0.7316200137138367
1744940414.690462,89,-1.7440199851989746
1744940477.9392881,99,-2.6197800636291504
1744940503.1005397,103,-3.0142600536346436
1744940522.516225,106,-3.1481800079345703
1744940528.9431067,107,-3.1372900009155273
1744940587.328663,116,-4.034090042114258
1744940620.660427,121,-4.236499786376953
1744940647.4691448,125,-4.8798699378967285
1744940654.2026224,126,-4.640890121459961
1744940667.8329687,128,-4.7202301025390625
1744940681.3504539,130,-5.1071600914001465
1744940721.804357,136,-5.37824010848999
1744940728.5357182,137,-5.607810020446777
1744940775.0566556,144,-6.5925397872924805
1744940788.2594457,146,-6.787439823150635
1744940794.9648526,147,-7.094890117645264
1744940815.103195,150,-7.1887102127075195
1744940861.5182521,157,-7.900670051574707
1744940880.8944721,160,-8.125510215759277
1744940894.1128364,162,-8.361120223999023
1744940907.5668347,164,-8.713000297546387
1744940956.1162088,171,-9.445469856262207
1744940962.8769097,172,-9.668009757995605
1744940997.0651686,177,-10.022109985351562
1744941045.2136552,184,-9.984970092773438
1744941052.213804,185,-10.39307975769043
1744941059.095739,186,-10.766460418701172
1744941086.3460913,190,-10.390049934387207
1744941093.1932,191,-10.229450225830078
1744941100.2126071,192,-10.640600204467773
1744941148.6919324,199,-10.775580406188965
1744941169.4176445,202,-11.279959678649902
1744941176.2333958,203,-11.161149978637695
1744941183.0347435,204,-11.297479629516602
1744941189.711391,205,-11.538069725036621
1744941203.2405686,207,-11.773240089416504
1744941230.2330718,211,-12.124710083007812
1744941243.764528,213,-12.679630279541016
1744941257.173873,215,-12.547599792480469
1744941290.5658722,220,-13.463669776916504
1744941297.1077304,221,-13.45125961303711
1744941316.2394073,224,-13.997690200805664
1744941347.140803,229,-14.446820259094238
1744941445.2134001,244,-16.403959274291992
1744941451.6015267,245,-15.86478042602539
1744941458.10484,246,-16.243389129638672
1744941536.5286322,258,-17.174100875854492
1744941542.9093115,259,-17.310930252075195
1744941549.3089027,260,-17.410560607910156
1744941621.3652205,271,-18.686979293823242
1744941641.3966472,274,-18.940059661865234
1744941654.4061377,276,-18.926769256591797
1744941667.5018528,278,-19.269750595092773
1744941693.9185772,282,-19.644210815429688
1744941713.6636496,285,-20.26420021057129
1744941733.3273156,288,-20.468339920043945
1744941746.040181,290,-20.59320068359375
1744941777.7317593,295,-21.126930236816406
1744941790.4291494,297,-21.224559783935547
1744941796.8573434,298,-21.44244956970215
1744941849.5263653,306,-21.568309783935547
1744941862.8979218,308,-22.049579620361328
1744941889.5997057,312,-22.074970245361328
1744941915.6458023,316,-22.240249633789062
1744941928.4414742,318,-22.133609771728516
1744941934.7288039,319,-22.40900993347168
1744941953.725193,322,-22.662019729614258
1744942052.879277,337,-23.560739517211914
1744942059.3735392,338,-23.21841049194336
1744942091.26328,343,-23.67654037475586
1744942104.6595345,345,-24.032699584960938
1744942111.211553,346,-23.888080596923828
1744942150.1293263,352,-24.53598976135254
1744942163.1316109,354,-24.717439651489258
1744942189.0031972,358,-24.713260650634766
1744942230.588148,364,-24.984500885009766
1744942237.6261854,365,-25.018239974975586
1744942244.5612001,366,-25.136280059814453
1744942251.3848367,367,-25.051130294799805
1744942322.8749738,378,-26.138999938964844
1744942375.6192687,386,-26.293079376220703
1744942401.2080884,390,-27.48607063293457
1744942413.9932632,392,-28.008180618286133
1744942446.09341,397,-28.191659927368164
1744942477.9253182,402,-28.82029914855957
1744942490.9092026,404,-29.0704402923584
1744942562.0915556,415,-29.604110717773438
1744942600.6734626,421,-29.56184959411621
1744942607.1924891,422,-29.765859603881836
1744942633.6619163,426,-29.945539474487305
1744942697.2093275,436,-30.45941925048828
1744942703.8731208,437,-30.610580444335938
1744942717.3660645,439,-30.70956039428711
1744942743.8998578,443,-31.210939407348633
1744942750.3638864,444,-31.66766929626465
1744942763.0955155,446,-31.699600219726562
1744942788.449956,450,-32.15528106689453
