Wall time,Step,Value
1745025433.6933417,4,3.1206300258636475
1745025490.4100041,14,3.7030699253082275
1745025496.2155602,15,4.193079948425293
1745025514.0545542,18,4.792719841003418
1745025519.9549766,19,5.197669982910156
1745025538.0737772,22,4.518360137939453
1745025562.0878575,26,4.492660045623779
1745025568.0590107,27,4.189479827880859
1745025647.3652456,40,2.7128798961639404
1745025688.6629152,47,1.87746000289917
1745025694.7017999,48,1.7699400186538696
1745025700.687798,49,1.28548002243042
1745025730.7159224,54,0.2754800021648407
1745025779.8210292,62,-0.5524700284004211
1745025786.0088365,63,-0.39855000376701355
1745025804.4979637,66,-0.4403499960899353
1745025810.5657954,67,-0.46898001432418823
1745025829.3129346,70,-0.23563000559806824
1745025835.515816,71,-0.672819972038269
1745025873.388978,77,-2.290910005569458
1745025905.2035482,82,-2.335129976272583
1745025951.2839406,89,-3.3493099212646484
1745026019.3303752,99,-4.154890060424805
1745026046.3427668,103,-4.251440048217773
1745026066.9350784,106,-5.218760013580322
1745026073.8731358,107,-4.831349849700928
1745026138.5676715,116,-6.03056001663208
1745026175.0927904,121,-6.321559906005859
1745026204.7810128,125,-7.119110107421875
1745026212.2470372,126,-6.478819847106934
1745026226.9602544,128,-6.719329833984375
1745026241.4786317,130,-6.838659763336182
1745026285.314952,136,-7.211130142211914
1745026292.8906703,137,-7.443260192871094
1745026343.7700486,144,-7.7561798095703125
1745026358.9611046,146,-8.346799850463867
1745026366.6052477,147,-8.171030044555664
1745026388.7572746,150,-8.381270408630371
1745026439.0796318,157,-9.242039680480957
1745026461.2272582,160,-9.477789878845215
1745026475.5136197,162,-9.494759559631348
1745026489.4871757,164,-9.636099815368652
1745026540.2785544,171,-10.450590133666992
1745026547.7700596,172,-10.382599830627441
1745026584.4304957,177,-11.047750473022461
1745026633.9702656,184,-11.305680274963379
1745026640.9622176,185,-11.228219985961914
1745026648.0833209,186,-11.256979942321777
1745026676.3875499,190,-11.679619789123535
1745026683.4514945,191,-12.02968978881836
1745026690.497477,192,-12.143549919128418
1745026741.3931887,199,-12.666219711303711
1745026763.3309956,202,-13.016189575195312
1745026770.5817158,203,-12.959360122680664
1745026777.9234252,204,-12.800680160522461
1745026785.2028835,205,-12.67354965209961
1745026799.7532027,207,-12.906900405883789
1745026828.4369383,211,-13.303119659423828
1745026842.1614347,213,-13.789830207824707
1745026856.3341384,215,-13.84568977355957
1745026891.627055,220,-14.649330139160156
1745026898.7590332,221,-14.981240272521973
